year,amount_mad,type,ex_date
2025,22.00,Ordinary,2026-07-08
2024,19.00,Ordinary,2025-05-27
2023,16.50,Ordinary,2024-07-10
2022,15.50,Ordinary,2023-07-03
2021,15.00,Ordinary,2022-07-05
2020,11.00,Ordinary,2021-07-05
2019,6.75,Exceptional,2021-01-05
